COD,POP,OB_Tot,OB_Tot_Tax,Tx_analf
355310,6268,6268,"3,988513082",10
355320,5568,5568,"2,873563218","8,4"
355330,23182,23182,"4,098007074","4,4"
355340,25830,25830,"3,871467286","6,5"
355350,7850,7850,"5,222929936","10,5"
355360,12970,12970,"4,394757132","5,9"
355365,2810,2810,"5,338078292","9,8"
355370,56984,56984,"4,843464832","6,6"
355380,23180,23180,"4,659188956","7,8"
355385,5792,5792,"3,453038674","9,9"
355390,7395,7395,"3,651115619","9,7"
355395,14812,14812,"3,375641372",8
355400,120533,120533,"4,314171223","4,4"
355410,311854,311854,"3,665176653","2,8"
355420,4574,4574,"5,68430258","14,5"
355430,23019,23019,"3,779486511","8,7"
355440,9302,9302,"4,300150505",6
355450,41622,41622,"3,627889097",4
355460,2663,2663,"4,130679685","9,4"
355465,2401,2401,"1,665972511",5
355470,9963,9963,"3,914483589","6,9"
355475,1709,1709,"2,925687537","7,8"
355480,46642,46642,"3,537584152","4,2"
355490,5781,5781,"3,978550424","8,7"
355495,6808,6808,"4,55346651","9,2"
355500,65477,65477,"4,184675535","6,2"
355510,15404,15404,"4,998701636","6,3"
355520,2012,2012,"4,970178926","11,1"
355530,1759,1759,"3,411028994","10,9"
355535,6216,6216,"4,504504505","8,6"
355540,89747,89747,"4,267552119","5,8"
355550,4754,4754,"5,469078671","8,7"
355560,10068,10068,"3,277711561","7,5"
355570,1823,1823,"3,291278113","12,5"
355580,9108,9108,"4,830917874","7,9"
355590,1177,1177,"11,04502974","7,2"
355600,13727,13727,"4,808042544","6,7"
355610,13115,13115,"4,269919939","6,9"
355620,127123,127123,"3,256688404",3
355630,26130,26130,"3,40604669","7,9"
355635,10378,10378,"3,27616111","10,3"
355640,42573,42573,"3,946163061","5,2"
355645,51702,51702,"3,539514912","5,6"
355650,120572,120572,"3,483395813","4,8"
355660,10864,10864,"3,405743741","7,5"
355670,77308,77308,"3,078594712","2,8"
355680,18775,18775,"3,834886818","6,2"
355690,8626,8626,"2,550428936","8,1"
355695,1834,1834,"1,090512541","13,3"
355700,121331,121331,"3,923152368","3,5"
355710,93736,93736,"3,829905266","5,1"
355715,2684,2684,"4,098360656",7
